dataset,filename,HBOS,CBLOF,LOF,COPOD,PCC,AutoEncoder (AE),DenoisingAutoEncoder (DAE),RobustPCA,Random Black Forest (RR),Torsk,Avg Ens.
settings_five,synthetic_batch_143.out,0.122633,4.750455,1.113381,0.132278,0.290897,0.278033,0.232047,0.19626,0.303171,26.57858,33.997735
settings_five,synthetic_batch_144.out,0.120439,4.778883,1.091286,0.131402,0.302093,0.235639,0.229628,0.234207,0.254177,27.21965,34.597404000000004
settings_five,synthetic_batch_145.out,0.120802,4.880609,1.169115,0.130879,0.300029,0.232612,0.229836,0.262381,0.211668,27.073775,34.611706
settings_five,synthetic_batch_146.out,0.120414,4.809206,1.163159,0.131613,0.317197,0.237595,0.235256,0.182385,0.202079,26.756085,34.154989
settings_five,synthetic_batch_147.out,0.121413,5.175041,1.114642,0.143185,0.297648,0.243091,0.231011,0.277091,0.192938,26.635293,34.431353
settings_five,synthetic_batch_148.out,0.125126,5.183611,1.109291,0.138657,0.286488,0.247738,0.244654,0.181035,0.189408,27.108944,34.814952000000005
settings_five,synthetic_batch_149.out,0.121078,4.439181,1.106716,0.135603,0.303567,0.238934,0.233666,0.165812,0.19672,25.889438,32.830715
settings_five,synthetic_batch_150.out,0.119847,5.570826,1.106682,0.136069,0.363806,0.242759,0.233197,0.211062,0.184835,25.58471,33.753793
settings_five,synthetic_batch_151.out,0.119228,5.584614,1.132456,0.14419,0.310867,0.234402,0.239141,0.226948,0.185364,26.021533,34.198743
settings_five,synthetic_batch_152.out,0.1227,4.875697,1.101588,0.137306,0.316343,0.231782,0.240416,0.267811,0.185454,27.632033,35.11113
settings_five,synthetic_batch_153.out,0.12013,4.913442,1.10702,0.139772,0.311435,0.231606,0.237773,0.265569,0.186295,28.116222,35.629264
settings_five,synthetic_batch_154.out,0.12013,5.619031,1.117723,0.133025,0.285776,0.240495,0.237091,0.255091,0.185009,26.511498,34.704869
settings_five,synthetic_batch_155.out,0.120701,4.735966,1.121173,0.133096,0.306162,0.234354,0.241261,0.208813,0.181753,25.883874,33.167153
settings_five,synthetic_batch_156.out,0.119971,5.255115,1.136831,0.134888,0.286476,0.233593,0.238789,0.170884,0.190856,27.986605,35.754008
settings_five,synthetic_batch_157.out,0.121204,5.065901,1.112832,0.141896,0.293221,0.233907,0.231821,0.212406,0.207558,28.226072,35.846818
settings_five,synthetic_batch_158.out,0.12084,4.74063,1.112165,0.135464,0.306075,0.233269,0.232307,0.265228,0.21883,25.157155,32.521963
settings_five,synthetic_batch_159.out,0.119996,5.115286,1.125859,0.179106,0.291187,0.231866,0.230002,0.173875,0.211671,22.522771,30.201619
settings_five,synthetic_batch_160.out,0.120361,4.598435,1.105129,0.140817,0.289385,0.236103,0.236298,0.229219,0.220819,24.075175,31.251741000000003
settings_five,synthetic_batch_161.out,0.123653,4.461594,1.113573,0.133839,0.286295,0.233305,0.229078,0.198655,0.217722,20.634066,27.63178
settings_five,synthetic_batch_162.out,0.119114,4.98798,1.10992,0.132836,0.305394,0.248914,0.238408,0.236607,0.226711,23.802424,31.408307999999998
settings_five,synthetic_batch_163.out,0.119572,5.334448,1.171413,0.13234,,,,,,,6.757773
settings_five,synthetic_batch_164.out,0.119855,4.808471,1.117294,0.132504,0.282044,0.236675,0.248939,0.184591,0.208222,21.480985,28.819580000000002
settings_five,synthetic_batch_165.out,0.119361,5.487414,1.124807,0.130664,0.28682,0.250383,0.308178,0.192192,0.223544,22.318112,30.441474999999997
settings_five,synthetic_batch_166.out,0.119079,5.390893,1.135726,0.131507,0.297394,0.231922,0.239634,0.193447,0.306972,23.504112,31.550686
settings_five,synthetic_batch_167.out,0.118499,5.007068,1.108958,0.132515,0.302983,0.234571,0.234209,0.251409,0.383229,21.157397,28.930838
settings_five,synthetic_batch_168.out,0.120357,4.895034,1.118995,0.145581,0.312833,0.239441,0.240097,0.19267,0.309363,22.570207,30.144578
settings_five,synthetic_batch_169.out,0.118922,4.737123,1.116469,0.134242,0.316311,0.235398,0.236148,0.214165,0.222014,23.969333,31.300125
settings_five,synthetic_batch_170.out,0.119402,4.576165,1.11138,0.131634,0.310429,0.234258,0.238688,0.23112,0.210925,24.565851,31.729851999999998
settings_five,synthetic_batch_171.out,0.119191,4.813782,1.10712,0.130257,0.301846,0.232109,0.274739,0.162475,0.24543,25.172037,32.558986
settings_five,synthetic_batch_172.out,0.118416,4.665663,1.111288,0.134361,0.288853,0.28362,0.240126,0.263306,0.224891,23.937996,31.26852
settings_five,synthetic_batch_173.out,0.1193,4.838381,1.198053,0.138315,0.304837,0.236834,0.239067,0.185906,0.224546,22.227248,29.712487
settings_five,synthetic_batch_174.out,0.118362,5.023554,1.217827,0.140351,0.278738,0.241392,0.237688,0.186652,0.232,20.81879,28.495354
settings_five,synthetic_batch_175.out,0.118028,4.673503,1.119305,0.139376,0.294255,0.234322,0.312473,0.22349,0.199024,22.917697,30.231473
settings_five,synthetic_batch_176.out,0.118608,5.107605,1.12057,0.135095,0.319767,0.235391,0.285213,0.213965,0.200819,23.110555,30.847588000000002
settings_five,synthetic_batch_177.out,0.118947,5.081597,1.11536,0.133512,0.285457,0.233587,0.255798,0.282876,0.209748,24.291433,32.008315
settings_five,synthetic_batch_178.out,0.123969,4.967784,1.139578,0.13912,0.277498,0.234418,0.243977,0.176474,0.196969,23.154458,30.654245000000003
settings_five,synthetic_batch_179.out,0.119663,4.683839,1.110129,0.139067,0.297995,0.234422,0.248203,0.217511,0.219409,23.391832,30.66207
settings_five,synthetic_batch_180.out,0.119763,4.732358,1.103308,0.139175,,,,,,,6.0946039999999995
settings_five,synthetic_batch_181.out,0.121826,5.586596,1.138636,0.140478,0.293031,0.233487,0.256846,0.164899,0.219961,24.280653,32.436413
settings_five,synthetic_batch_182.out,0.122023,4.853138,1.11655,0.137917,0.290918,0.233521,0.280433,0.22481,0.223613,23.109504,30.592427
settings_five,synthetic_batch_183.out,0.123032,4.56994,1.114154,0.144302,0.310757,0.234985,0.314337,0.20431,0.230896,24.596926,31.843639
settings_five,synthetic_batch_184.out,0.125396,5.556943,1.108199,0.13859,0.293477,0.232541,0.287352,0.222784,0.199327,23.696416,31.861024999999998
settings_five,synthetic_batch_185.out,0.123122,4.911793,1.104851,0.1333,0.35056,0.232946,0.279202,0.234543,0.200729,24.888349,32.459395
settings_five,synthetic_batch_186.out,0.124677,5.324655,1.099996,0.133363,0.30201,0.243909,0.242763,0.184515,0.215578,23.491673,31.363138999999997
